id,day,weight,gender,adrenal,liver,heart,appendix,femstate,gonfat,bat,sulcer,kmethod,tail,blength,place,intestine,year,ADWBWind,gonind
rat1,67,22,1,10,0.8,0.112,0.3,4,0,0.041,1,3,7.5,10.5,2, ,5,0.454545454545455,0
rat2,251,182,1,55,1.9,0.8,1.6,4,4.2,0.135,3,3,13,19.5,1, ,3,0.302197802197802,1.64865862558738
rat3,230,37.5,1,24.5,1.92,0.23,0.78,4,0,0.055,2,1,9.5,10.5,3,82,8,0.653333333333333,0
rat4,261,45,2,11.7,2.13,0.25,4.73, ,13.2,0.098,1,1,10,11.5,9, ,2,0.26,2.65324196460722
rat5,262,43,1,21.5,2.26,0.23,0.93,4,0,0.081,1,1,9,12.5,3,85,8,0.5,0
rat6,169,40,1,23,2.29,0.26,0.56,4,0,0.117,2,1,9.5,11.5,3,90,7,0.575,0
rat7,230,50,2,30.5,2.34,0.24,0.4, ,0.14,0.071,2,1,9.5,11.5,3,86,8,0.61,0.131028262406404
rat8,261,48,2,20.4,2.41,0.28,0.49, ,0.089,0.148,1,1,11,12.5,9, ,2,0.425,0.085259843950823
rat9,162,46,1,20,2.64,0.27,0.65,4,0,0.062,1,1,10.5,12,3,91,8,0.434782608695652,0
rat10,169,53,1,34,2.74,0.26,0.98,4,0,0.071,1,1,9.4,13,3,91,7,0.641509433962264,0
rat11,217,46,2,22,2.79,0.22,0.6, ,0.057,0.059,1,1,9.8,11.5,3,100,8,0.478260869565217,0.055434706888101
rat12,339,46,1,26.7,2.86,0.21,0.49, ,0,0.029,4,1,10.5,12.5,3,124,6,0.580434782608696,0
rat13,177,47,2,37,2.91,0.22,1.17, ,0,0.07,2,1,9.1,12,3,87,8,0.787234042553192,0
rat14,177,58,2,26.5,3,0.304,0.61, ,0,0.094,1,1,10,11.5,3,96,8,0.456896551724138,0
rat15,261,59,1,18.5,3,0.3,1.2,4,0,0.074,1,1,11.5,13,9, ,2,0.313559322033898,0
rat16,196,54,2,15,3.07,0.29,2.67, ,0.058,0.053,2,1,9,13,3,88,8,0.277777777777778,0.056380333436108
rat17,258,58.5,2,57,3.13,0.3,0.79, ,0.13,0.164,2,1,10.5,13,3,80,8,0.974358974358974,0.122217632724249
rat18,166,63,2,20,3.3,0.4,1.2, ,0.176,0.135,1,1,10.5,14,1, ,3,0.317460317460317,0.162118849476435
rat19,162,58,2,20,3.43,0.33,1.34, ,0,0.071,1,1,11,13,3,105,8,0.344827586206897,0
rat20,240,60,2,30,3.44,0.34,0.89, ,0,0.071,1,1,10.5,13,3,94,7,0.5,0
rat21,177,56,2,42,3.49,0.36,0.61, ,0,0.055,1,1,11,12.5,3,114,8,0.75,0
rat22,261,75,1,20,3.73,0.35,1.31,4,0.12,0.13,1,1,12.5,14.5,9, ,2,0.266666666666667,0.113328685307003
rat23,253,27.5,2,24, , , , ,0,0.054,1,3,7.5,10,3, ,6,0.872727272727273,0
rat24,81,55.9,2,34,3.9,0.4,0.9, ,0.05,0.272,3,3,9.5,13,2, ,5,0.608228980322004,0.048790164169432
rat25,354,79.6,2,56,3.9,0.527,1.6, ,0,0.252,5,3,10.5,15.5,2, ,4,0.703517587939699,0
rat26,269,70.4,1,34,4,0.4,1,4,0,0.126,1,1,10.5,12.5,3,108,6,0.482954545454545,0
rat27,196,68,2,28.5,4.1,0.29,1.19, ,0.1,0.06,1,1,11,13.5,3,87.5,8,0.419117647058824,0.095310179804325
rat28,70,54,1,39,4.1,0.28,0.61,4,0,0.154,2,1,10.6,13,3,109,9,0.722222222222222,0
rat29,258,71,2,52,4.14,0.35,0.62, ,0.18,0.11,2,1,11,14,3,114,8,0.732394366197183,0.165514438477573
rat30,217,79,1,19.5,4.2,0.4,1.68,4,0,0.104,4,1,11,14.7,3,103,8,0.246835443037975,0
rat31,66,64.5,1,27.5,4.3,0.4,0.9,4,0,0.237,1,3,10.5,12.5,2, ,5,0.426356589147287,0
rat32,162,98,2,53.5,4.38,0.42,2.19, ,0,0.059,1,1,12.7,14,3,126,8,0.545918367346939,0
rat33,75,265,2,50, , , , ,2.33,0.315,1,1,17.4,20,4, , ,0.188679245283019,1.20297230399235
rat34,75,274,2,50.5, , , , ,3.23,0.431,1,1,16.8,20.3,4, , ,0.184306569343066,1.44220199305819
rat35,258,74,2,44.5,5.07,0.37,1.21, ,0.11,0.095,2,1,11,14,3,113,8,0.601351351351351,0.104360015324243
rat36,261,120,1,39.1,5.25,0.55,3.8,4,1.22,0.169,1,1,14.5,17.5,9, ,2,0.325833333333333,0.797507195884188
rat37,244,229,1,73.5,5.45,0.78,3.64,4,2.03,0.189,1,1,16.2,20,3,142,8,0.320960698689956,1.10856261952128
